Posicion,Premios,puntos_MVP,primero,AWS,AWS_temp,WP,Season,WP_season,WP_adj,WP_adj_season,Defensivo,Sueldos
295,,,,"Thornwell,Sindarius",189.15,"Thomas,Lance",2018,2.9391703104772526,"House,Danuel",0.17512053814710055,,"Allen,Jarrett"
296,,,,"McDermott,Doug",187.45,"Davis,Deyonta",2018,2.9164850756254186,"Nwaba,David",0.17100536616006318,,"Anunoby,OG"
297,,,,"Zeller,Tyler",187.1,"Thornwell,Sindarius",2018,2.8900446606007124,"Ingram,Andre",0.16836879051105996,,"Rozier,Terry"
298,,,,"Carter-Williams,Michael",186.00000000000003,"Evans,Jawun",2018,2.8846745402358813,"Morris,Jaylen",0.1446573989612556,,"Seraphin,Kevin"
299,,,,"James,Mike",185.8,"Casspi,Omri",2018,2.8610016397453406,"Wilson,Jamil",0.12515849311749705,,"Zizic,Ante"
300,,,,"Clarkson,Jordan",184.2,"Carter-Williams,Michael",2018,2.840045921051879,"Rathan-Mayes,Xavier",0.12417465983586233,,"Zeller,Tyler"
301,,,,"Collins,Zach",180.50000000000003,"Mahinmi,Ian",2018,2.816805936559627,"Cunningham,Dante",0.11820813270202153,,"Vaughn,Rashad"
302,,,,"Udoh,Ekpe",178.09999999999997,"Bell,Jordan",2018,2.7898627981303177,"Cunningham,Dante",0.10633693955682487,,"Giles,Harry"
303,,,,"Wade,Dwyane",178.05,"Johnson,Joe",2018,2.7815774214565727,"Harrison,Aaron",0.09879159446103604,,"Ellenson,Henry"
304,,,,"Larkin,Shane",177.15000000000003,"Zipser,Paul",2018,2.7681552376962206,"Okafor,Jahlil",0.09697113468738948,,"Moreland,Eric"
305,,,,"Dorsey,Tyler",176.10000000000005,"Looney,Kevon",2018,2.764140525208959,"Hunter,R.J.",0.08888885289712249,,"Dekker,Sam"
306,,,,"Selden,Wayne",175.85,"Nance,Larry",2018,2.7583276094381928,"Stauskas,Nik",0.08863374138119026,,"Ferguson,Terrance"
307,,,,"Parsons,Chandler",174.9,"Ennis,James",2018,2.7437518442131155,"Len,Alex",0.07526048976808082,,"Korkmaz,Furkan"
308,,,,"Abrines,Álex",172.95000000000005,"Holmes,Richaun",2018,2.7208210218384434,"Lin,Jeremy",0.0741573690484362,,"LeVert,Caris"
